No.,Name,Type,Zone,From,Dep,To,Arr,Duration,Halts,Distance,Avg Speed,Return,Classes,Sun,Mon,Tue,Wed,Thu,Fri,Sat
20901,Mumbai Central - Gandhinagar Capital Vande Bharat Express,VB,WR,VB,06:00,WR,12:30,6h 30m,,522 km,80 km/hr,20902,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
,Mumbai Central - Gandhinagar Capital Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
20633,Kasaragod - Thiruvananthapuram Central Vande Bharat Express,VB,SR,VB,14:30,SR,22:40,8h 10m,,586 km,72 km/hr,20634,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
20633,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
,Kasaragod - Thiruvananthapuram Central Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
20634,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
20833,Visakhapatnam - Secunderabad Vande Bharat Express,VB,ECoR,VB,05:45,VSKP,14:20,8h 35m,,698 km,81 km/hr,20834,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
20833,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
,Visakhapatnam - Secunderabad Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
20834,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
20834,Secunderabad - Visakhapatnam Vande Bharat Express,VB,ECoR,VB,15:00,SC,23:35,8h 35m,,698 km,81 km/hr,20833,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
,Secunderabad - Visakhapatnam Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
22225,Mumbai CSMT - Solapur Vande Bharat Express,VB,SCR,CSMT,16:05,VB,22:40,6h 35m,,454 km,69 km/hr,22226,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
22225,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
,Mumbai CSMT - Solapur Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
22226,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
22226,Solapur - Mumbai CSMT Vande Bharat Express,VB,SCR,CSMT,06:05,VB,12:35,6h 30m,,454 km,70 km/hr,22225,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
,Solapur - Mumbai CSMT Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
22224,Sainagar Shirdi - Mumbai CSMT Vande Bharat Express,VB,CR,CSMT,17:45,VB,22:50,5h 5m,,343 km,68 km/hr,22223,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
22224,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
,Sainagar Shirdi - Mumbai CSMT Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
22223,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
22223,Mumbai CSMT - Sainagar Shirdi Vande Bharat Express,VB,CR,CSMT,06:20,VB,11:30,5h 10m,,343 km,66 km/hr,22224,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
,Mumbai CSMT - Sainagar Shirdi Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
20171,Rani Kamalapati (Habibganj) - Hazrat Nizamuddin Vande Bharat Express,VB,WCR,VB,05:40,WCR,13:16,7h 36m,,702 km,92 km/hr,20172,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
20171,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
,Rani Kamalapati (Habibganj) - Hazrat Nizamuddin Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
20172,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
20172,Hazrat Nizamuddin - Rani Kamalapati (Habibganj) Vande Bharat Express,VB,WCR,VB,14:40,WCR,22:16,7h 36m,,702 km,92 km/hr,20171,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
,Hazrat Nizamuddin - Rani Kamalapati (Habibganj) Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
20702,Tirupati - Secunderabad Vande Bharat Express,VB,SCR,VB,15:15,SCR,23:40,8h 25m,,662 km,79 km/hr,20701,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
,Tirupati - Secunderabad Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
20836,Puri - Rourkela Vande Bharat Express,VB,ECoR,VB,05:00,PURI,12:45,7h 45m,,506 km,65 km/hr,20835,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
20836,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
,Puri - Rourkela Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
20835,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
20643,MGR Chennai Central - Coimbatore Vande Bharat Express,VB,SR,MGR,14:15,VB,20:15,6h 0m,,495 km,82 km/hr,20644,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
20643,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
,MGR Chennai Central - Coimbatore Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
20644,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
20644,Coimbatore - MGR Chennai Central Vande Bharat Express,VB,SR,MGR,06:00,VB,11:50,5h 50m,,495 km,85 km/hr,20643,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
,Coimbatore - MGR Chennai Central Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
22227,New Jalpaiguri - Guwahati Vande Bharat Express,VB,NFR,VB,06:10,NFR,11:40,5h 30m,,407 km,74 km/hr,22228,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
22227,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
,New Jalpaiguri - Guwahati Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
22228,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
22301,Howrah - New Jalpaiguri Vande Bharat Express,VB,ER,VB,05:55,ER,13:25,7h 30m,,566 km,75 km/hr,22302,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
,Howrah - New Jalpaiguri Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
20979,Udaipur City - Jaipur Vande Bharat Express,VB,NWR,VB,07:50,NWR,14:10,6h 20m,,435 km,69 km/hr,20980,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
20979,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
,Udaipur City - Jaipur Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
20980,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
20977,Ajmer - Chandigarh Vande Bharat Express,VB,NWR,VB,06:10,NWR,14:45,8h 35m,,678 km,79 km/hr,20978,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
20977,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
